element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""500.05067""","=""0.00008""","=""316""","=""7.3e+05""",E,"=""33765.306""","=""53763.280""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""x 1F*""","=""3""",,
Ti,1,"=""500.0897""","=""0.0003""","=""12000""","=""5.27e+07""",C+,"=""6661.006""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,
Fe,1,"=""500.1605""","=""0.0004""","=""65""","=""""",,"=""37409.555""","=""57403.134""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""","=""3d6.4s.(6D).5d""","=""5P""","=""2""",,
Ti,1,"=""500.2383""","=""0.0003""","=""910""","=""3.65e+07""",B+,"=""16106.076""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""500.32586""","=""0.00008""","=""20900""","=""3.7e+07""",D+,"=""31307.245""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Ti,1,"=""500.3550""","=""0.0003""","=""6""","=""""",,"=""25107.411""","=""45093.226""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""","=""3d2.4s.(2D).5s""","=""3D""","=""1""",,
Fe,1,"=""500.3976""","=""0.0005""","=""79bl*""","=""""",,"=""33765.306""","=""53749.405""","=""3d8""","=""c 3F""","=""2""","=""3d6.(3G).4s.4p.(3P*)""","=""3F*""","=""2""",,
Fe,1,"=""500.3976""","=""0.0005""","=""79bl*""","=""""",,"=""38995.736""","=""58979.823""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d6.4s.(4D).4d""","=""3D""","=""2""",,
Fe,1,"=""500.41879""","=""0.00008""","=""2570""","=""8.8e+05""",D,"=""27394.691""","=""47377.955""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""500.54399""","=""0.00008""","=""468""","=""3.7e+06""",E,"=""33946.933""","=""53925.200""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""500.5737""","=""0.0004""","=""105""","=""""",,"=""26623.735""","=""46600.818""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",,
Fe,1,"=""500.71083""","=""0.00008""","=""15800""","=""""",,"=""31322.613""","=""51294.220""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""500.75152""","=""0.00008""","=""41700""","=""5.87e+06""",B+,"=""22845.869""","=""42815.855""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""5""",,
Ti,1,"=""500.8603""","=""0.0003""","=""10000""","=""4.92e+07""",C+,"=""6598.765""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,
Fe,1,"=""500.86717""","=""0.00008""","=""5400""","=""""",,"=""33095.941""","=""53061.318""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,
Fe,1,"=""501.0036""","=""0.0005""","=""105""","=""""",,"=""36766.966""","=""56726.892""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d6.4s.(6D).5d""","=""5F""","=""3""",,
Ti,1,"=""501.1042""","=""0.0003""","=""1200*""","=""2.41e+05""",A,"=""170.1328""","=""20126.062""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,
Ti,1,"=""501.1042""","=""0.0003""","=""1200*""","=""""",,"=""17369.529""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""1""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""501.2610""","=""0.0005""","=""60""","=""""",,"=""24335.766""","=""44285.454""","=""3d7.(2P).4s""","=""c 3P""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",,
Fe,1,"=""501.34661""","=""0.00008""","=""65000""","=""5.50e+04""",A,"=""6928.268""","=""26874.550""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",,
Fe,1,"=""501.35556""","=""0.00008""","=""740""","=""""",,"=""33801.572""","=""53747.500""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,
Fe,1,"=""501.40926""","=""0.00020""","=""275""","=""6.5e+05""",E,"=""34547.211""","=""54490.999""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,
Ti,1,"=""501.4680""","=""0.0003""","=""1200""","=""3.86e+07""",B+,"=""16267.480""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""5""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,
Ti,1,"=""501.5585""","=""0.0003""","=""11000""","=""5.08e+06""",B,"=""0.000""","=""19937.855""","=""3d2.4s2""","=""a 3F""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Ti,1,"=""501.5674""","=""0.0003""","=""8700""","=""6.8e+07""",C,"=""6556.833""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,
Fe,1,"=""501.63408""","=""0.00008""","=""12900""","=""2.64e+07""",C+,"=""31805.071""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Ti,1,"=""501.7560""","=""0.0003""","=""3800""","=""6.43e+06""",C+,"=""6842.962""","=""26772.968""","=""3d3.(4F).4s""","=""a 5F""","=""5""","=""3d3.(4F).4p""","=""y 5G*""","=""5""",,
Fe,1,"=""501.78779""","=""0.00020""","=""79""","=""""",,"=""34328.752""","=""54257.502""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
Fe,1,"=""502.11303""","=""0.00020""","=""123""","=""""",,"=""32133.991""","=""52049.823""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Na,1,"=""502.12""","=""0.02""","=""""","=""""",,"=""266933.9""","=""286849.5""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""",,
Ti,1,"=""502.1289""","=""0.0003""","=""24""","=""""",,"=""18061.387""","=""37976.589""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""2""",,
Ti,1,"=""502.1425""","=""0.0003""","=""5100""","=""1.13e+07""",C+,"=""6742.756""","=""26657.416""","=""3d3.(4F).4s""","=""a 5F""","=""4""","=""3d3.(4F).4p""","=""y 5G*""","=""4""",,
Fe,1,"=""502.22169""","=""0.00020""","=""135""","=""""",,"=""28604.613""","=""48516.138""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d7.(4P).4p""","=""x 3P*""","=""1""",,
Fe,1,"=""502.2992""","=""0.0005""","=""1120bl""","=""6.18e+06""",D+,"=""34328.752""","=""54237.213""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,
Fe,1,"=""502.30837""","=""0.00020""","=""174""","=""""",,"=""34017.103""","=""53925.200""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,
Fe,1,"=""502.36359""","=""0.00008""","=""7100""","=""2.4e+07""",D+,"=""32133.991""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""502.4190""","=""0.0005""","=""1230bl""","=""1.87e+05""",C,"=""24118.819""","=""44022.525""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",,
Ti,1,"=""502.4267""","=""0.0003""","=""4800""","=""1.39e+07""",C+,"=""6661.006""","=""26564.400""","=""3d3.(4F).4s""","=""a 5F""","=""3""","=""3d3.(4F).4p""","=""y 5G*""","=""3""",,
Fe,1,"=""502.45872""","=""0.00008""","=""316""","=""2.3e+06""",E,"=""34547.211""","=""54449.347""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,
Ti,1,"=""502.4735""","=""0.0003""","=""26""","=""""",,"=""17423.856""","=""37325.410""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,
Fe,1,"=""502.48985""","=""0.00020""","=""234""","=""6.0e+05""",E,"=""34782.421""","=""54683.322""","=""3d7.(4F).4p""","=""z 5G*""","=""5""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Fe,1,"=""502.61947""","=""0.00020""","=""302""","=""""",,"=""33765.306""","=""53661.079""","=""3d8""","=""c 3F""","=""2""","=""3d7.(4F).5p""","=""5F*""","=""3""",,
Ti,1,"=""502.6245""","=""0.0003""","=""3500""","=""1.32e+07""",C+,"=""6598.765""","=""26494.330""","=""3d3.(4F).4s""","=""a 5F""","=""2""","=""3d3.(4F).4p""","=""y 5G*""","=""2""",,
Fe,1,"=""502.6485""","=""0.0004""","=""17""","=""""",,"=""34362.873""","=""54257.502""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,
